AI Evaluation Results
==============================
AI #327: Score = 160, Steps = 1438
AI #328: Score = 160, Steps = 1526
AI #329: Score = 160, Steps = 1531
AI #330: Score = 160, Steps = 1362
AI #331: Score = 160, Steps = 1438
AI #332: Score = 160, Steps = 1626
AI #333: Score = 160, Steps = 1365
AI #334: Score = 160, Steps = 1364
AI #335: Score = 160, Steps = 1526
AI #336: Score = 160, Steps = 1526
AI #337: Score = 160, Steps = 1558
AI #338: Score = 160, Steps = 1362
AI #339: Score = 160, Steps = 1661
AI #340: Score = 160, Steps = 1526
AI #341: Score = 160, Steps = 1434
AI #342: Score = 160, Steps = 1510
AI #343: Score = 160, Steps = 1435
AI #344: Score = 160, Steps = 1435
AI #345: Score = 160, Steps = 1436
AI #346: Score = 160, Steps = 1364
AI #347: Score = 160, Steps = 1526
AI #348: Score = 160, Steps = 1526
AI #349: Score = 160, Steps = 1526
AI #350: Score = 160, Steps = 1382
AI #351: Score = 160, Steps = 1526
AI #352: Score = 160, Steps = 1363
AI #353: Score = 160, Steps = 784
AI #354: Score = 160, Steps = 1526
AI #355: Score = 160, Steps = 1361
AI #356: Score = 160, Steps = 1361
AI #357: Score = 160, Steps = 1526
AI #358: Score = 160, Steps = 1504
AI #359: Score = 160, Steps = 1526
AI #360: Score = 160, Steps = 1590
AI #361: Score = 160, Steps = 1526
AI #362: Score = 160, Steps = 1368
AI #363: Score = 160, Steps = 1363
AI #364: Score = 160, Steps = 1526
AI #365: Score = 160, Steps = 1526
AI #366: Score = 160, Steps = 1452
AI #367: Score = 160, Steps = 1364
AI #368: Score = 160, Steps = 1363
AI #369: Score = 160, Steps = 1362
AI #370: Score = 160, Steps = 1526
AI #371: Score = 160, Steps = 1436
AI #372: Score = 160, Steps = 1362
AI #373: Score = 160, Steps = 1438
AI #374: Score = 160, Steps = 1526
AI #375: Score = 160, Steps = 1527
AI #376: Score = 160, Steps = 1437
AI #377: Score = 160, Steps = 1661
AI #378: Score = 160, Steps = 1436
AI #379: Score = 160, Steps = 1526
AI #380: Score = 160, Steps = 1526
AI #381: Score = 160, Steps = 1363
AI #382: Score = 160, Steps = 1391
AI #383: Score = 160, Steps = 1526
AI #384: Score = 160, Steps = 1363
AI #385: Score = 160, Steps = 1443
AI #386: Score = 160, Steps = 1526
AI #387: Score = 160, Steps = 1526
AI #388: Score = 160, Steps = 1363
AI #389: Score = 160, Steps = 1364
AI #390: Score = 160, Steps = 1526
AI #391: Score = 160, Steps = 1360
AI #392: Score = 160, Steps = 1369
AI #393: Score = 160, Steps = 1436
AI #394: Score = 160, Steps = 1361
AI #395: Score = 160, Steps = 1419
AI #396: Score = 160, Steps = 1363
AI #397: Score = 160, Steps = 1526
AI #398: Score = 160, Steps = 1526
AI #399: Score = 160, Steps = 1526
AI #400: Score = 160, Steps = 1367
AI #401: Score = 160, Steps = 1361
AI #402: Score = 160, Steps = 1663
AI #403: Score = 160, Steps = 1433
AI #404: Score = 160, Steps = 1365
AI #405: Score = 160, Steps = 1364
AI #406: Score = 160, Steps = 1362
AI #407: Score = 160, Steps = 1363
AI #408: Score = 160, Steps = 1364
AI #409: Score = 160, Steps = 1364
AI #410: Score = 160, Steps = 1526
AI #411: Score = 160, Steps = 1367
AI #412: Score = 160, Steps = 1440
AI #413: Score = 160, Steps = 1362
AI #414: Score = 160, Steps = 1360
AI #415: Score = 160, Steps = 1526
AI #416: Score = 160, Steps = 1437
AI #417: Score = 160, Steps = 1361
AI #418: Score = 160, Steps = 1363
AI #419: Score = 160, Steps = 1388
AI #420: Score = 160, Steps = 1436
AI #421: Score = 160, Steps = 1360
AI #422: Score = 160, Steps = 1362
AI #423: Score = 160, Steps = 1364
AI #424: Score = 160, Steps = 1360
AI #425: Score = 160, Steps = 1364
AI #426: Score = 160, Steps = 1526
AI #427: Score = 160, Steps = 1649
AI #428: Score = 160, Steps = 1526
AI #429: Score = 160, Steps = 1440
AI #430: Score = 110, Steps = 707
AI #431: Score = 110, Steps = 724
AI #432: Score = 100, Steps = 724
AI #433: Score = 100, Steps = 724
AI #434: Score = 100, Steps = 589
AI #435: Score = 100, Steps = 724
AI #436: Score = 100, Steps = 724
AI #437: Score = 100, Steps = 707
AI #438: Score = 100, Steps = 707
AI #439: Score = 100, Steps = 724
AI #440: Score = 90, Steps = 589
AI #441: Score = 70, Steps = 559
AI #442: Score = 30, Steps = 468
AI #443: Score = 20, Steps = 499
AI #444: Score = 20, Steps = 499
AI #445: Score = 20, Steps = 544
AI #446: Score = 20, Steps = 544
AI #447: Score = 10, Steps = 468
AI #448: Score = 10, Steps = 468
AI #449: Score = 10, Steps = 468
AI #450: Score = 10, Steps = 468
AI #451: Score = 10, Steps = 468
AI #452: Score = 10, Steps = 468
AI #453: Score = 10, Steps = 468
AI #454: Score = 10, Steps = 468
AI #455: Score = 10, Steps = 649
AI #456: Score = 10, Steps = 468
AI #457: Score = 10, Steps = 468
